ID;Product Category;Historical Spend
0;Wines;239
0;Fruits;10
0;Meat Products;554
0;Fish Products;254
0;Sweet Products;87
0;Gold Products;54
1;Wines;464
1;Fruits;5
1;Meat Products;64
1;Fish Products;7
1;Sweet Products;0
1;Gold Products;37
9;Wines;57
9;Fruits;0
9;Meat Products;27
9;Fish Products;0
9;Sweet Products;0
9;Gold Products;36
13;Wines;19
13;Fruits;0
13;Meat Products;5
13;Fish Products;0
13;Sweet Products;0
13;Gold Products;8
17;Wines;637
17;Fruits;47
17;Meat Products;237
17;Fish Products;12
17;Sweet Products;19
17;Gold Products;76
20;Wines;43
20;Fruits;12
20;Meat Products;23
20;Fish Products;29
20;Sweet Products;15
20;Gold Products;61
22;Wines;185
22;Fruits;2
22;Meat Products;88
22;Fish Products;15
22;Sweet Products;5
22;Gold Products;14
24;Wines;18
24;Fruits;2
24;Meat Products;19
24;Fish Products;0
24;Sweet Products;2
24;Gold Products;6
25;Wines;460
25;Fruits;35
25;Meat Products;422
25;Fish Products;33
25;Sweet Products;12
25;Gold Products;153
35;Wines;32
35;Fruits;1
35;Meat Products;64
35;Fish Products;16
35;Sweet Products;12
35;Gold Products;85
48;Wines;136
48;Fruits;1
48;Meat Products;12
48;Fish Products;0
48;Sweet Products;3
48;Gold Products;32
49;Wines;2
49;Fruits;3
49;Meat Products;6
49;Fish Products;4
49;Sweet Products;1
49;Gold Products;9
55;Wines;509
55;Fruits;0
55;Meat Products;65
55;Fish Products;7
55;Sweet Products;11
55;Gold Products;5
67;Wines;68
67;Fruits;0
67;Meat Products;16
67;Fish Products;0
67;Sweet Products;0
67;Gold Products;8
73;Wines;14
73;Fruits;0
73;Meat Products;3
73;Fish Products;0
73;Sweet Products;0
73;Gold Products;1
75;Wines;34
75;Fruits;11
75;Meat Products;137
75;Fish Products;179
75;Sweet Products;61
75;Gold Products;45
78;Wines;15
78;Fruits;0
78;Meat Products;11
78;Fish Products;0
78;Sweet Products;2
78;Gold Products;9
87;Wines;0
87;Fruits;7
87;Meat Products;5
87;Fish Products;26
87;Sweet Products;2
87;Gold Products;17
89;Wines;5
89;Fruits;9
89;Meat Products;20
89;Fish Products;6
89;Sweet Products;8
89;Gold Products;21
92;Wines;5
92;Fruits;7
92;Meat Products;24
92;Fish Products;19
92;Sweet Products;14
92;Gold Products;20
113;Wines;11
113;Fruits;0
113;Meat Products;7
113;Fish Products;3
113;Sweet Products;1
113;Gold Products;6
115;Wines;275
115;Fruits;11
115;Meat Products;68
115;Fish Products;25
115;Sweet Products;7
115;Gold Products;7
123;Wines;544
123;Fruits;35
123;Meat Products;133
123;Fish Products;23
123;Sweet Products;151
123;Gold Products;107
125;Wines;215
125;Fruits;7
125;Meat Products;33
125;Fish Products;3
125;Sweet Products;0
125;Gold Products;13
143;Wines;466
143;Fruits;0
143;Meat Products;224
143;Fish Products;119
143;Sweet Products;49
143;Gold Products;99
146;Wines;760
146;Fruits;53
146;Meat Products;400
146;Fish Products;17
146;Sweet Products;93
146;Gold Products;0
153;Wines;19
153;Fruits;3
153;Meat Products;6
153;Fish Products;4
153;Sweet Products;2
153;Gold Products;12
158;Wines;345
158;Fruits;53
158;Meat Products;528
158;Fish Products;98
158;Sweet Products;75
158;Gold Products;97
164;Wines;206
164;Fruits;0
164;Meat Products;46
164;Fish Products;3
164;Sweet Products;2
164;Gold Products;12
175;Wines;656
175;Fruits;80
175;Meat Products;455
175;Fish Products;52
175;Sweet Products;107
175;Gold Products;93
176;Wines;90
176;Fruits;38
176;Meat Products;67
176;Fish Products;33
176;Sweet Products;36
176;Gold Products;67
178;Wines;478
178;Fruits;0
178;Meat Products;193
178;Fish Products;110
178;Sweet Products;75
178;Gold Products;117
182;Wines;284
182;Fruits;0
182;Meat Products;55
182;Fish Products;0
182;Sweet Products;6
182;Gold Products;52
193;Wines;0
193;Fruits;0
193;Meat Products;2
193;Fish Products;3
193;Sweet Products;3
193;Gold Products;8
194;Wines;23
194;Fruits;0
194;Meat Products;11
194;Fish Products;3
194;Sweet Products;2
194;Gold Products;2
195;Wines;125
195;Fruits;17
195;Meat Products;52
195;Fish Products;3
195;Sweet Products;19
195;Gold Products;30
199;Wines;219
199;Fruits;3
199;Meat Products;60
199;Fish Products;12
199;Sweet Products;9
199;Gold Products;12
202;Wines;332
202;Fruits;194
202;Meat Products;377
202;Fish Products;149
202;Sweet Products;125
202;Gold Products;57
203;Wines;1288
203;Fruits;20
203;Meat Products;613
203;Fish Products;80
203;Sweet Products;61
203;Gold Products;27
213;Wines;35
213;Fruits;0
213;Meat Products;11
213;Fish Products;0
213;Sweet Products;0
213;Gold Products;2
217;Wines;556
217;Fruits;14
217;Meat Products;717
217;Fish Products;210
217;Sweet Products;0
217;Gold Products;43
221;Wines;138
221;Fruits;3
221;Meat Products;38
221;Fish Products;4
221;Sweet Products;0
221;Gold Products;59
231;Wines;24
231;Fruits;0
231;Meat Products;7
231;Fish Products;0
231;Sweet Products;0
231;Gold Products;1
232;Wines;279
232;Fruits;83
232;Meat Products;88
232;Fish Products;32
232;Sweet Products;14
232;Gold Products;34
234;Wines;1
234;Fruits;2
234;Meat Products;8
234;Fish Products;4
234;Sweet Products;3
234;Gold Products;13
236;Wines;28
236;Fruits;23
236;Meat Products;29
236;Fish Products;29
236;Sweet Products;14
236;Gold Products;47
238;Wines;515
238;Fruits;47
238;Meat Products;181
238;Fish Products;149
238;Sweet Products;95
238;Gold Products;95
241;Wines;901
241;Fruits;31
241;Meat Products;345
241;Fish Products;75
241;Sweet Products;31
241;Gold Products;191
246;Wines;199
246;Fruits;9
246;Meat Products;57
246;Fish Products;20
246;Sweet Products;21
246;Gold Products;6
247;Wines;172
247;Fruits;10
247;Meat Products;125
247;Fish Products;21
247;Sweet Products;13
247;Gold Products;16
252;Wines;123
252;Fruits;133
252;Meat Products;142
252;Fish Products;71
252;Sweet Products;44
252;Gold Products;88
254;Wines;399
254;Fruits;4
254;Meat Products;30
254;Fish Products;6
254;Sweet Products;4
254;Gold Products;30
255;Wines;17
255;Fruits;0
255;Meat Products;2
255;Fish Products;0
255;Sweet Products;0
255;Gold Products;2
257;Wines;952
257;Fruits;12
257;Meat Products;180
257;Fish Products;47
257;Sweet Products;12
257;Gold Products;12
263;Wines;56
263;Fruits;19
263;Meat Products;29
263;Fish Products;2
263;Sweet Products;14
263;Gold Products;25
269;Wines;777
269;Fruits;30
269;Meat Products;163
269;Fish Products;0
269;Sweet Products;51
269;Gold Products;122
271;Wines;154
271;Fruits;0
271;Meat Products;50
271;Fish Products;6
271;Sweet Products;11
271;Gold Products;37
273;Wines;130
273;Fruits;0
273;Meat Products;16
273;Fish Products;0
273;Sweet Products;0
273;Gold Products;5
274;Wines;9
274;Fruits;3
274;Meat Products;15
274;Fish Products;2
274;Sweet Products;3
274;Gold Products;2
286;Wines;95
286;Fruits;11
286;Meat Products;35
286;Fish Products;0
286;Sweet Products;4
286;Gold Products;7
291;Wines;182
291;Fruits;74
291;Meat Products;298
291;Fish Products;162
291;Sweet Products;149
291;Gold Products;116
295;Wines;493
295;Fruits;70
295;Meat Products;324
295;Fish Products;146
295;Sweet Products;40
295;Gold Products;84
304;Wines;19
304;Fruits;3
304;Meat Products;19
304;Fish Products;4
304;Sweet Products;5
304;Gold Products;26
309;Wines;918
309;Fruits;21
309;Meat Products;118
309;Fish Products;13
309;Sweet Products;10
309;Gold Products;21
310;Wines;330
310;Fruits;5
310;Meat Products;159
310;Fish Products;36
310;Sweet Products;27
310;Gold Products;16
313;Wines;901
313;Fruits;61
313;Meat Products;757
313;Fish Products;186
313;Sweet Products;163
313;Gold Products;20
322;Wines;29
322;Fruits;1
322;Meat Products;11
322;Fish Products;0
322;Sweet Products;0
322;Gold Products;0
326;Wines;235
326;Fruits;6
326;Meat Products;45
326;Fish Products;8
326;Sweet Products;9
326;Gold Products;12
332;Wines;198
332;Fruits;2
332;Meat Products;43
332;Fish Products;0
332;Sweet Products;12
332;Gold Products;20
339;Wines;462
339;Fruits;0
339;Meat Products;24
339;Fish Products;6
339;Sweet Products;0
339;Gold Products;4
340;Wines;158
340;Fruits;35
340;Meat Products;179
340;Fish Products;0
340;Sweet Products;0
340;Gold Products;125
347;Wines;229
347;Fruits;27
347;Meat Products;71
347;Fish Products;13
347;Sweet Products;3
347;Gold Products;34
359;Wines;373
359;Fruits;14
359;Meat Products;83
359;Fish Products;6
359;Sweet Products;9
359;Gold Products;19
361;Wines;5
361;Fruits;1
361;Meat Products;7
361;Fish Products;2
361;Sweet Products;1
361;Gold Products;4
367;Wines;47
367;Fruits;90
367;Meat Products;94
367;Fish Products;123
367;Sweet Products;103
367;Gold Products;120
368;Wines;91
368;Fruits;65
368;Meat Products;52
368;Fish Products;10
368;Sweet Products;44
368;Gold Products;28
375;Wines;516
375;Fruits;56
375;Meat Products;449
375;Fish Products;86
375;Sweet Products;33
375;Gold Products;16
378;Wines;283
378;Fruits;112
378;Meat Products;151
378;Fish Products;51
378;Sweet Products;72
378;Gold Products;125
380;Wines;1170
380;Fruits;48
380;Meat Products;320
380;Fish Products;42
380;Sweet Products;32
380;Gold Products;192
387;Wines;6
387;Fruits;16
387;Meat Products;11
387;Fish Products;11
387;Sweet Products;1
387;Gold Products;16
405;Wines;315
405;Fruits;0
405;Meat Products;31
405;Fish Products;4
405;Sweet Products;0
405;Gold Products;91
425;Wines;374
425;Fruits;64
425;Meat Products;116
425;Fish Products;84
425;Sweet Products;25
425;Gold Products;64
433;Wines;534
433;Fruits;5
433;Meat Products;47
433;Fish Products;0
433;Sweet Products;5
433;Gold Products;41
437;Wines;294
437;Fruits;142
437;Meat Products;218
437;Fish Products;164
437;Sweet Products;58
437;Gold Products;151
448;Wines;308
448;Fruits;85
448;Meat Products;137
448;Fish Products;102
448;Sweet Products;45
448;Gold Products;118
450;Wines;67
450;Fruits;15
450;Meat Products;80
450;Fish Products;17
450;Sweet Products;11
