hour_of_day,hours,skill,avg_actual,verdict
0,63.0,0.27002879757758214,0.00364383014770973,Model wins
1,62.0,0.1432172782373028,0.004475595871227939,Model wins
2,62.0,0.394457411835512,0.004075267609016646,Model wins
3,62.0,0.05733573230380862,0.004079870626206491,Model wins
4,62.0,0.1268050010540872,0.0056260760670091125,Model wins
5,62.0,0.34176285905811044,0.0045686074544580586,Model wins
6,62.0,0.2690750923630818,0.0037801407924725164,Model wins
7,62.0,0.22527426400770478,0.00391265644965569,Model wins
8,62.0,0.17128344716838217,0.005767094177687368,Model wins
9,62.0,0.20772612284948544,0.007190130094809977,Model wins
10,62.0,0.027819767161244457,0.007902738876502006,Model wins
11,62.0,0.08088208023061516,0.007531605904483923,Model wins
12,62.0,0.4478108167008955,0.005500630994041452,Model wins
13,62.0,0.17606826811485765,0.005165667095348399,Model wins
14,62.0,0.12759990651781672,0.004519559228180209,Model wins
15,62.0,0.22991569551541458,0.0037484889386381766,Model wins
16,62.0,0.05731403870139362,0.0037110716121663855,Model wins
17,62.0,-0.052205608994614794,0.0044344041139813845,Baseline wins
18,62.0,0.05692580872393671,0.004606432392726284,Model wins
19,63.0,0.2369596743516852,0.004058947000862314,Model wins
20,63.0,0.2133621296547359,0.005085917346239056,Model wins
21,63.0,-0.010749444577157874,0.006173938231062264,Baseline wins
22,63.0,0.479408281538361,0.0047909010962702715,Model wins
23,63.0,0.3210651641782819,0.0040707936662964465,Model wins
